cid,spider_ident_f,spider_ident_c
3340,https://www.feixiaohao.com/currencies/0x/,https://coincheckup.com/coins/0x
2251,https://www.feixiaohao.com/currencies/pillar/,https://coincheckup.com/coins/pillar
581,https://www.feixiaohao.com/currencies/ceek-vr/,https://coincheckup.com/coins/ceek-vr
3,https://www.feixiaohao.com/currencies/firstblood/,https://coincheckup.com/coins/firstblood
694,https://www.feixiaohao.com/currencies/cpchain/,https://coincheckup.com/coins/cpchain
3241,https://www.feixiaohao.com/currencies/ink-protocol/,https://coincheckup.com/coins/ink-protocol
1364,https://www.feixiaohao.com/currencies/guppy/,https://coincheckup.com/coins/guppy
2288,https://www.feixiaohao.com/currencies/peerplays-ppy/,https://coincheckup.com/coins/peerplays-ppy
1261,https://www.feixiaohao.com/currencies/parkgene/,https://coincheckup.com/coins/parkgene
539,https://www.feixiaohao.com/currencies/cashaa/,https://coincheckup.com/coins/cashaa
1188,https://www.feixiaohao.com/currencies/farad/,https://coincheckup.com/coins/farad
3308,https://www.feixiaohao.com/currencies/zebi/,https://coincheckup.com/coins/zebi
1753,https://www.feixiaohao.com/currencies/lendroid-support-token/,https://coincheckup.com/coins/lendroid-support-token
3323,https://www.feixiaohao.com/currencies/zilliqa/,https://coincheckup.com/coins/zilliqa
423,https://www.feixiaohao.com/currencies/bonpay/,https://coincheckup.com/coins/bonpay
1289,https://www.feixiaohao.com/currencies/gladius-token/,https://coincheckup.com/coins/gladius-token
1572,https://www.feixiaohao.com/currencies/jet8/,https://coincheckup.com/coins/jet8
741,https://www.feixiaohao.com/currencies/credits/,https://coincheckup.com/coins/credits
1344,https://www.feixiaohao.com/currencies/graft/,https://coincheckup.com/coins/graft
2122,https://www.feixiaohao.com/currencies/shivom/,https://coincheckup.com/coins/shivom
3169,https://www.feixiaohao.com/currencies/mywish/,https://coincheckup.com/coins/mywish
2034,https://www.feixiaohao.com/currencies/nkn/,https://coincheckup.com/coins/nkn
4890,https://www.feixiaohao.com/currencies/apr-coin/,https://coincheckup.com/coins/apr-coin
2320,https://www.feixiaohao.com/currencies/patientory/,https://coincheckup.com/coins/patientory
1217,https://www.feixiaohao.com/currencies/funfair/,https://coincheckup.com/coins/funfair
4,https://www.feixiaohao.com/currencies/1world/,https://coincheckup.com/coins/1world
973,https://www.feixiaohao.com/currencies/eidoo/,https://coincheckup.com/coins/eidoo
3625,https://www.feixiaohao.com/currencies/libra-credit/,https://coincheckup.com/coins/libra-credit
2074,https://www.feixiaohao.com/currencies/nuls/,https://coincheckup.com/coins/nuls
1051,https://www.feixiaohao.com/currencies/emphy/,https://coincheckup.com/coins/emphy
2806,https://www.feixiaohao.com/currencies/lamden/,https://coincheckup.com/coins/lamden
